method,validation_time_days,calibration_group,patients,mean_predicted_survival,observed_survival,observed_lower_95,observed_upper_95,n_risk_at_90_days
Apparent,90,1,60,0.4554441715738183,0.4737609329446061,0.3615858593535475,0.6207361703408978,27
Apparent,90,2,60,0.7289476096949362,0.6559748204837488,0.5437978328007846,0.7912921662310559,32
Apparent,90,3,60,0.8388348671822077,0.8472355769230767,0.7601105385891737,0.9443470210747088,41
Apparent,90,4,60,0.8919291736141028,0.9155172413793101,0.847326522265639,0.9891957790033781,45
Apparent,90,5,59,0.9356601356037535,0.9312785848802797,0.8684798948081551,0.9986181693338982,44
Out-of-bag bootstrap,90,1,60,0.4541727081591527,0.5090311986863708,0.3959937840969447,0.6543354255597335,28
Out-of-bag bootstrap,90,2,60,0.7282256363061809,0.6516280010509939,0.5382639608406996,0.7888676980909393,33
Out-of-bag bootstrap,90,3,60,0.8380994598209369,0.8642183288409702,0.7809708883885408,0.9563395140704686,41
Out-of-bag bootstrap,90,4,60,0.8916214960627656,0.8649122807017543,0.7820730815700997,0.9565260215923415,42
Out-of-bag bootstrap,90,5,59,0.9358084335897136,0.9312785848802797,0.8684798948081551,0.9986181693338982,45
