comparison,group,time_days,n_risk,survival,lower_95,upper_95
Ejection fraction group,EF < 40%,30,157,0.8673079291751058,0.8192387457701796,0.9181975924525313
Ejection fraction group,EF < 40%,90,112,0.7130984140433855,0.6494734494671315,0.7829563295133996
Ejection fraction group,EF < 40%,180,69,0.5867123258982521,0.5129550586692139,0.6710750728416524
Ejection fraction group,EF ≥ 40%,30,107,0.9055209055209054,0.853913891063802,0.960246833921261
Ejection fraction group,EF ≥ 40%,90,77,0.8396681005118318,0.7739921350414726,0.910916903541106
Ejection fraction group,EF ≥ 40%,180,37,0.7724131902828795,0.6870106590370887,0.8684321395525346
Sex,Female,30,94,0.9032253921699063,0.8479645022151566,0.9620875719789052
Sex,Female,90,69,0.7617709130141843,0.6826834326337242,0.8500205163552077
Sex,Female,180,38,0.6603782588797575,0.56664284259107,0.769619612253323
Sex,Male,30,170,0.8708719203215095,0.824889558260468,0.9194175074828561
Sex,Male,90,120,0.762954660701316,0.7046114327730199,0.8261288239320622
Sex,Male,180,68,0.6502212334508574,0.5773953792924025,0.73223248330889
