time,n_risk,n_event,n_censor,conditional_survival,survival
4,299,1,0,0.9966555183946488,0.9966555183946488
6,298,1,0,0.9966442953020134,0.9933110367892977
7,297,2,0,0.9932659932659933,0.9866220735785953
8,295,2,0,0.9932203389830508,0.979933110367893
10,293,6,0,0.9795221843003413,0.959866220735786
11,287,2,0,0.9930313588850174,0.9531772575250835
12,285,0,1,1,0.9531772575250835
13,284,1,0,0.9964788732394366,0.9498209995760516
14,283,2,0,0.9929328621908127,0.9431084836779876
15,281,2,0,0.9928825622775801,0.9363959677799236
16,279,0,1,1,0.9363959677799236
20,278,2,0,0.9928057553956835,0.9296593061412192
22,276,0,1,1,0.9296593061412192
23,275,2,0,0.9927272727272727,0.9228981475511011
24,273,1,0,0.99633699633699635,0.9195175682560421
26,272,3,0,0.9889705882352942,0.9093758303708652
27,269,1,0,0.9962825278810409,0.9059952510758063
28,268,2,0,0.9925373134328358,0.8992340924856883
29,266,1,1,0.9962406015037594,0.8958535131906293
30,264,4,1,0.9848484848484849,0.8822799751119834
31,259,1,0,0.9961389961389961,0.8788734887215897
32,258,1,0,0.9961240310077519,0.8754670023311959
33,257,2,1,0.9922178988326849,0.8686540295504084
35,254,1,0,0.9960629921259843,0.865234131796273
38,253,1,0,0.9960474308300395,0.8618142340421375
40,252,1,0,0.996031746031746,0.8583943362880021
41,251,1,0,0.9960159362549801,0.8549744385338667
42,250,1,0,0.996,0.8515545407797313
43,249,3,0,0.9879518072289156,0.8412948475173249
44,246,1,0,0.9959349593495935,0.8378749497631894
45,245,1,0,0.9959183673469387,0.8344550520090539
50,244,1,0,0.9959016393442623,0.8310351542549185
54,243,0,2,1,0.8310351542549185
55,241,1,0,0.995850622406639,0.8275868756065579
59,240,1,0,0.9958333333333333,0.8241385969581972
60,239,2,1,0.9916317991631799,0.8172420396614759
61,236,1,0,0.9957627118644068,0.8137791496629103
63,235,0,1,1,0.8137791496629103
64,234,1,0,0.9957264957264957,0.8103014609891372
65,233,2,0,0.9914163090128756,0.803346083641591
66,231,1,0,0.9956709956709957,0.7998683949678179
67,230,1,0,0.9956521739130435,0.7963907062940448
68,229,0,1,1,0.7963907062940448
71,228,0,1,1,0.7963907062940448
72,227,1,1,0.9955947136563876,0.7928823771914278
